,institution,period,euro,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,license_ref,indexed_in_crossref,pmid,pmcid,ut,url,doaj
0,FU Berlin,2015,2000.0,10.1038/npjqi.2015.10,False,Springer Nature,npj Quantum Information,2056-6387,,2056-6387,,True,,,,,True
2,FU Berlin,2015,2000.0,10.1038/ncomms9498,False,Springer Nature,Nature Communications,2041-1723,,2041-1723,,True,26577800.0,PMC4673657,,,True
3,FU Berlin,2015,2000.0,10.1371/journal.ppat.1005246,False,Public Library of Science (PLoS),PLOS Pathogens,1553-7374,,1553-7374,http://creativecommons.org/licenses/by/4.0/,True,26544881.0,PMC4636265,,,True
12,FU Berlin,2015,2000.0,10.3389/fpsyg.2015.01675,False,Frontiers Media SA,Frontiers in Psychology,1664-1078,,1664-1078,,True,26583000.0,PMC4628112,,,True
15,FU Berlin,2015,2000.0, 10.1371/journal.ppat.1004781,False,Public Library of Science (PLoS),PLOS Pathogens,1553-7374,,1553-7374,http://creativecommons.org/licenses/by/4.0/,True,,,,,True
23,FU Berlin,2015,2000.0,10.1127/metz/2015/0641,False,Schweizerbart,Meteorologische Zeitschrift,0941-2948,,,,True,,,,,True
28,FU Berlin,2015,2000.0,10.3389/fnhum.2015.00551,False,Frontiers Media SA,Frontiers in Human Neuroscience,1662-5161,,1662-5161,,True,26500523.0,PMC4599046,,,True
29,FU Berlin,2015,2000.0,10.1038/ncomms8606,False,Springer Nature,Nature Communications,2041-1723,,2041-1723,,True,26216619.0,PMC4525213,,,True
32,FU Berlin,2015,2000.0,10.1186/s12918-015-0183-x,False,Springer Nature,BMC Systems Biology,1752-0509,,1752-0509,,True,26201334.0,PMC4511525,,,True
45,FU Berlin,2015,2000.0,10.1371/journal.pcbi.1004200,False,Public Library of Science (PLoS),PLOS Computational Biology,1553-7358,,1553-7358,http://creativecommons.org/licenses/by/4.0/,True,25927964.0,PMC4423987,,,True
60,FU Berlin,2015,2000.0,10.1155/2015/569512,False,Hindawi Publishing Corporation,Mediators of Inflammation,0962-9351,0962-9351,1466-1861,http://creativecommons.org/licenses/by/4.0/,True,26770019.0,PMC4681803,,,True
